X,Y,objectid,osm_id,fclass,name,subdistrict,district,state,country
73.118969,18.9960773,191,1261803303,Fire Station,Fire Station,Panvel,Raigad,Maharashtra,India
72.8291567,18.9414817,192,605222184,Fire Station, ,Mumbai,Mumbai,Maharashtra,India
72.8260531,18.9154546,193,623417932,Fire Station,Colaba Fire Station,Mumbai,Mumbai,Maharashtra,India
72.8319615,18.9724562,194,700725781,Fire Station,Byculla,Mumbai,Mumbai,Maharashtra,India
72.8326392,18.9579623,195,861411346,Fire Station,Umerkhadi Fire Station,Mumbai,Mumbai,Maharashtra,India
73.8742947,18.500477,196,671451162,Fire Station,Pune Cantonment Fire Station,Pune City,Pune,Maharashtra,India
73.815447,18.4754767,197,1304723072,Fire Station,"Suncity Road Fire Station, Pune",Pune City,Pune,Maharashtra,India
73.2413432,19.153935,198,352677571,Fire Station, ,Ambarnath,Thane,Maharashtra,India
78.4767749,17.3595023,199,8978092814,Fire Station,مغل پورہ فائر اسٹیشن,Bahadurpura,Hyderabad,Telangana,India
69.6816396,23.2391268,200,1545194126,Fire Station, ,Bhuj,Kachchh,Gujarat,India
72.5163171,23.0398116,201,429410556,Fire Station,Bodakdev Fire Station,Sabarmati,Ahmadabad,Gujarat,India
72.5510013,23.0455062,202,436106992,Fire Station,Memnagar Fire Station,Sabarmati,Ahmadabad,Gujarat,India
72.8639909,22.6914086,203,1740713596,Fire Station, ,Nadiad,Kheda,Gujarat,India
73.79385,15.53316,204,4283890198,Fire Station,Pilerne,Bardez,Goa,Goa,India
73.80877,15.589841,205,4283907091,Fire Station,Mapusa,Bardez,Goa,Goa,India
73.82004,15.399766,206,4283907393,Fire Station, ,Mormugao,Goa,Goa,India
73.9703033,15.2693296,207,4269710993,Fire Station,Margao Fire Station,Salcete,Goa,Goa,India
73.93553,15.36955,208,4283907394,Fire Station,Verna IDC fire Station,Salcete,Goa,Goa,India
73.8191473,15.4946516,209,6122945885,Fire Station,dany place,Tiswadi,Goa,Goa,India
74.2624907,17.0568591,210,4376875895,Fire Station,Islampur agnishaman,Walwa,Sangli,Maharashtra,India
72.8935199,19.0545248,211,2311428475,Fire Station,Chembur Fire Station,Mumbai Suburban,Mumbai Suburban,Maharashtra,India
72.861041,19.175082,212,2429102988,Fire Station,Gorgaon Fire Station,Mumbai Suburban,Mumbai Suburban,Maharashtra,India
72.8722386,19.2805939,213,5255263122,Fire Station, ,Thane,Thane,Maharashtra,India
73.131667,19.0681874,214,3761594600,Fire Station, ,Panvel,Raigad,Maharashtra,India
73.0992311,19.0392786,215,5102719433,Fire Station,Tawa Delight,Panvel,Raigad,Maharashtra,India
72.8346417,18.9350735,216,2168679530,Fire Station,Fort Fire Brigade,Mumbai,Mumbai,Maharashtra,India
72.8538869,19.0396241,217,2187315849,Fire Station,Testing Fire Station,Mumbai,Mumbai,Maharashtra,India
73.8134797,18.4988894,218,2192111450,Fire Station,Kothrud Fire Station,Haveli,Pune,Maharashtra,India
73.7964936,18.4602367,219,4204725189,Fire Station,Nanded City Fire Station,Haveli,Pune,Maharashtra,India
72.8274691,19.4056705,220,4689269189,Fire Station, ,Vasai,Palghar,Maharashtra,India
72.8278531,19.405702,221,4821972821,Fire Station, ,Vasai,Palghar,Maharashtra,India
75.3217396,19.8624301,222,3242344367,Fire Station,fire station,Aurangabad,Aurangabad,Maharashtra,India
72.8211618,21.1998152,223,2629372542,Fire Station,Fire Station,Majura,Surat,Gujarat,India
79.0803362,21.107275,224,4984615984,Fire Station,Fire station,Nagpur Urban,Nagpur,Maharashtra,India
79.0806817,21.1071167,225,6983064785,Fire Station,Narendra Nagar Fire Station,Nagpur Urban,Nagpur,Maharashtra,India
79.2948375,19.962083,226,4376877994,Fire Station,CMC fire station,Chandrapur,Chandrapur,Maharashtra,India
72.6245643,22.9834029,227,4637012558,Fire Station,Jashodanagar Fire Station,Sabarmati,Ahmadabad,Gujarat,India
73.2016377,22.3001135,228,2344004347,Fire Station, ,Vadodara Rural,Vadodara,Gujarat,India
72.3902293,23.6065096,229,4496283273,Fire Station,Mehsana Muncipalty fire cantrol room,Mahesana,Mahesana,Gujarat,India
72.8519209,19.292598,230,7486324686,Fire Station,Mira Bhayander Mahanagarpalika Fire Bridage and Emergency centre,Thane,Thane,Maharashtra,India
72.8412091,19.0331179,231,9024751917,Fire Station, ,Mumbai,Mumbai,Maharashtra,India
73.7160677,18.622011,232,8585616661,Fire Station,Life Republic Fire Station,Mulshi,Pune,Maharashtra,India
74.6479866,19.3941262,233,8949470739,Fire Station, ,Rahuri,Ahmednagar,Maharashtra,India
76.0453084,20.0184178,234,8316131973,Fire Station, ,Deolgaon Raja,Buldhana,Maharashtra,India
74.3092945,35.9229938,235,4361264368,Fire Station, ,Data Not Available,Leh Ladakh,Ladakh,India
